10
a1 0.6150492736393456
a2 0.7468203279665809
a3 0.7758812030210244
a4 0.07491871202113676
a5 0.3127391723608782
a6 0.7578986086493695
a7 0.851292060343584
a8 0.17926266110318356
a9 0.1555955070019589
a0 0.3352204775949904
15
a1 a3 0.1837589567606147
a2 a6 0.4266010842584763
a4 a1 0.27674160844641393
a4 a5 0.27334239461834753
a4 a9 0.5598672582995627
a6 a2 0.9166907159309999
a6 a5 0.5322612212179715
a6 a9 0.7255162978605452
a7 a1 0.6178894003744448
a7 a5 0.6725105055255034
a8 a4 0.8693902434860317
a9 a6 0.7521978990119301
a0 a6 0.8624019463993235
a0 a7 0.4136196999616074
a0 a8 0.17564938171268718
4
a2 a7 0.14811166013699972
a2 a9 0.5639049919428673
a7 a2 0.7743140804067202
a8 a4 0.8671015566096943
