8
a1 0.2869934247256569
a2 0.3580109292286756
a3 0.2812099429547591
a4 0.11383468315382139
a5 0.7365667565689873
a6 0.6396860449776991
a7 0.24779759127198353
a0 0.6886547477880267
11
a1 a5 0.5154503214187831
a3 a4 0.061650083497745145
a3 a7 0.9580954442426538
a4 a6 0.35752305432391107
a4 a0 0.7169953807336867
a5 a2 0.33034816338713135
a6 a2 0.34380424228617246
a7 a1 0.5184042126349749
a7 a4 0.05634063219372387
a7 a6 0.028530427973252892
a7 a0 0.4487857833968455
3
a3 a6 0.4000702962329047
a5 a1 0.9834295214175361
a0 a1 0.4592078385400631
